Patch name 	Actin Time 	Cofilin Time 	Delay 	Cumulative Intensity Ratio
CY279_002_02a_2013_05_22	39.5	15.5	19.5	221.02490477
CY279_001_02a_2013_05_22	28.0	27.5	9.5	196.945353296
CY282_003_01a_2013_05_22	21.0	15.0	7.5	273.235014044
CY282_005_02b_2013_05_22	21.5	20.5	5.0	190.068926947
CY279_005_06a_2013_05_22	21.5	13.5	8.0	242.096085656
CY259_001_02d_2013_05_22	20.0	16.5	3.5	238.328756682
CY280_002_02a_2013_05_22	33.5	29.5	6.0	197.391034403
CY279_005_02a_2013_05_22	19.5	13.5	5.0	281.389731424
CY282_001_01a_2013_05_22	35.5			230.45183176
CY282_001_03a_2013_05_22	28.5	30.0	1.5	273.922680681
CY259_002_03a_2013_05_22	29.5	28.5	10.0	221.263735497
CY281_006_03a_2013_05_22	27.5	8.5	13.5	183.63669441
CY279_003_02a_2013_05_22	30.0	25.0	4.0	124.652121019
CY280_004_01a_2013_05_22	37.0	30.5	4.0	229.989497892
CY282_005_01a_2013_05_22	25.0			277.242080067
CY282_005_05a_2013_05_22	50.5	51.5	6.5	252.082417069
CY279_003_07a_2013_05_22	32.5	21.5	13.5	155.915118994
CY281_008_03a_2013_05_22	34.0			351.264196743
CY282_004_04a_2013_05_22	39.0	27.5	12.0	325.891618545
CY281_007_06a_2013_05_22	55.5	47.5	8.0	251.882871042
CY279_004_01a_2013_05_22	30.5	15.0	6.5	194.595820274
CY280_001_01c_2013_05_22	37.0	32.5	5.5	175.295045643
CY281_007_06c_2013_05_22	33.0	27.0	4.5	203.773197245
CY259_002_01a_2013_05_22	28.5	31.5	6.0	226.839216603
CY259_001_02a_2013_05_22	21.0	28.0	2.0	123.061884818
CY281_009_02a_2013_05_22	40.5	37.0	7.5	254.620517346
CY282_005_03a_2013_05_22	20.5	23.5	6.5	198.475276785
CY279_001_03b_2013_05_22	24.0	16.0	8.0	255.030984227
CY279_002_06a_2013_05_22	21.5	16.5	5.5	224.894563187
CY259_003_01a_2013_05_22	24.0	21.0	2.5	272.053747856
CY282_004_01a_2013_05_22	27.5			254.198243684
CY279_004_05a_2013_05_22	52.0	35.0	19.0	256.930561471
CY259_001_01b_2013_05_22	16.5	25.0	1.5	194.657006335
CY281_008_02b_2013_05_22	42.5	38.5	5.0	-99.7020093634
CY282_003_04a_2013_05_22	37.0	28.5	11.0	183.388114461
CY281_008_04a_2013_05_22	36.0	38.5	1.0	102.963453
CY282_002_03a_2013_05_22	38.0	40.5	1.5	157.604460788
CY281_010_02a_2013_05_22	44.5	30.5	13.5	95.6224682426
